昆仑奴	The Valiant One/大唐传奇：昆仑奴	优酷开播:2014-09-01	-	新加坡	剧情 / 言情 / 古装	-	周初明 / 郭淑贤 / 李月仪 / 陈泰铭 / 塔琳托娅	643,719	http://www.youku.com/show_page/id_ze86a3c885e6111e0a046.html	20集全
奶爸百分百	Daddy Nanny	2008-09-12	优酷开播:2010-08-13	新加坡	言情 / 时装	-	彭耀顺 / 林湘萍 / 姚玟隆 / 陈丽贞 / 严炳量	585,632	http://www.youku.com/show_page/id_z5dd54d8aa9ce11df97c0.html	20集全
力克千年虫	The Millennium Bug/千年虫	-	-	新加坡	悬疑 / 言情 / 时装	-	郑惠玉 / 赖兴祥 / 陈汉玮 / 朱厚任 / 邬伟强	569,277	http://www.youku.com/show_page/id_zcbfd047e962411de83b1.html	21集全
红白喜事	红白囍事	2010-04-14	-	新加坡	偶像 / 言情 / 时装	-	郑斌辉 / 欧萱 / 黄俊雄 / 刘子绚 / 洪赐健	565,253	http://www.youku.com/show_page/id_z20c2fad00aa511e1a046.html	20集全
真相	Angel's Dream	1999-11-30	-	新加坡	剧情	-	李锦梅 / 曹国辉 / 黄碧仁 / 梁侠儿 / 刘谦益	561,536	http://www.youku.com/show_page/id_zcbff8aaa962411de83b1.html	15集全
爱的掌门人	Love Concierge	2005-12-19	-	新加坡	言情 / 时装	-	薛家燕 / 郑秀珍 / 杜德伟 / 郭淑贤 / 谢宛谕	559,235	http://www.youku.com/show_page/id_zcbfcb67c962411de83b1.html	30集全
豹子胆	豹子胆 新加坡版	-	-	新加坡	警匪 / 时装	-	李南星 / 黄碧仁 / 徐绮 / 黄世南	556,104	http://www.youku.com/show_page/id_zcbfcbf96962411de83b1.html	20集全
人在旅途	Takeover	1985-01-01	-	新加坡	言情	-	吴岱融 / 向云 / 陈澍承 / 陈莉萍	547,998	http://www.youku.com/show_page/id_zcc16b748962411de83b1.html	30集全
财神爷	God Of Fortune/财神到	-	-	新加坡	古装	-	黄文永 / 曹国辉 / 陈秀丽 / 刘寅 / 梁维东	495,551	http://www.youku.com/show_page/id_z3770cc769d9411e1b16f.html	20集全
企鹅爸爸	Daddy At Home	2011-04-16	-	新加坡	家庭 / 搞笑 / 时装	-	李南星 / 陈汉玮 / 郭淑贤 / 许美珍 / 姚懿珊	455,490	http://www.youku.com/show_page/id_zb9d07254d64d11de97c0.html	20集全
沸腾冰点	The Defining Moment	2008-08-04	-	新加坡	悬疑 / 都市 / 言情	-	范文芳 / 方展发 / 欧萱 / 陈邦鋆 / 向云	449,339	http://www.youku.com/show_page/id_z8523d0e2d72311de97c0.html	20集全
地下猎人	The Shadow Mission	-	-	新加坡	警匪 / 时装	-	陈天文 / 李南星 / 林惠婵 / 洪昭容 / 李志洲	446,797	http://www.youku.com/show_page/id_zcbfcd12a962411de83b1.html	20集全
五福到	The Best Things Life	2010-03-17	优酷开播:2011-10-24	新加坡	剧情 / 家庭 / 搞笑 / 时装	-	陈汉玮 / 陈炯江 / 许美珍 / 李美玲 / 许雅慧	441,347	http://www.youku.com/show_page/id_z6d0ae9f6568811e0a046.html	20集全
城市双雄	-	优酷开播:2011-10-24	-	新加坡	警匪 / 都市	-	李铭顺 / 陈汉玮 / 潘玲玲 / 朱厚任	437,656	http://www.youku.com/show_page/id_zcbfcc5ea962411de83b1.html	25集全
迷云二十天	The Undisclosed/迷云20天	2006-04-03	-	新加坡	剧情 / 警匪 / 都市	-	李南星 / 黄碧仁 / 宋怡霏 / 萧乙铭 / 王爱玲	430,232	http://www.youku.com/show_page/id_zcbfd0bfe962411de83b1.html	20集全
随心所遇	As You Like It	-	-	新加坡	言情	-	郑斌辉 / 沈倾掞 / 傅芳玲 / 程笛	423,157	http://www.youku.com/show_page/id_z31743932fcee11de97c0.html	13集全
心花朵朵开 第一部	-	2008-05-28	-	新加坡	家庭	-	李锦梅 / 郑各评 / 莫小玲 / 陶海桐 / 詹金泉	395,863	http://www.youku.com/show_page/id_zc5470de45cdb11e0a046.html	58集全
霹雳红唇	Ladies In Action	1992-01-01	-	新加坡	警匪 / 言情	-	郑惠玉 / 陈泰铭 / 林梅娇 / 刘谦益 / 洪约翰	394,049	http://www.youku.com/show_page/id_z885c26f05f4511e0a046.html	25集全
一房半厅一水缸	Just In Singapore	2008-01-01	-	新加坡	家庭 / 搞笑	-	谢宛谕 / 江承熹 / 陈莉萍 / 黄文永 / 李茵珠	384,604	http://www.youku.com/show_page/id_zcefbb6065e6011e0a046.html	30集全
球爱大战	Beach. Ball. Babes	2008-07-07	-	新加坡	偶像	-	李铭顺 / 白薇秀 / 姚懿珊 / 崔鹏 / 刘子绚	331,446	http://www.youku.com/show_page/id_z205adc428b4e11e0a046.html	20集全
生命火花	Sparks of Life/法外危情	1995-06-01	-	新加坡	警匪 / 言情	-	关礼杰 / 范文芳 / 薛素珊	316,661	http://www.youku.com/show_page/id_zcbfd312e962411de83b1.html	20集全
二分之一缘分	You Are The One	2005-02-14	优酷开播:2010-08-13	新加坡	言情	-	刘谦益 / 周初明 / 陈松伶 / 郑秀珍 / 瑞恩	311,454	http://www.youku.com/show_page/id_zcbfcd468962411de83b1.html	25集全
惊天大阴谋	-	1994-01-01	-	新加坡	警匪	-	黄文永 / 关礼杰 / 沈金兴 / 郑惠玉 / 洪昭容	302,263	http://www.youku.com/show_page/id_zcbfcf68c962411de83b1.html	20集全
千方百计	Game Plan	2012-10-10	-	新加坡	剧情 / 悬疑 / 都市	-	李铭顺 / 刘子绚 / 郑秀珍 / 林梅娇 / 陈澍承	288,701	http://www.youku.com/show_page/id_ze9cb9e6c12a811e2b2ac.html	20集全
未来不是梦	The Dream-catchers	2009-02-04	-	新加坡	都市 / 言情 / 时装	-	刘子绚 / 瑞恩 / 郑斌辉 / 陈泓宇 / 黄俊雄	270,870	http://www.youku.com/show_page/id_zf425f38a619211e0a046.html	20集全
步步为赢	Out to Win	1999-08-08	-	新加坡	搞笑 / 言情 / 时装	-	傅芳玲 / 范文芳 / 沈倾掞 / 林益盛 / 王裕香	255,839	http://www.youku.com/show_page/id_zcbfcbece962411de83b1.html	10集全
十三鞭	-	2007-04-03	-	新加坡	言情 / 时装	-	李南星 / 郑各评 / 陈泰铭 / 黄炯耀 / 王爱玲	255,585	http://www.youku.com/show_page/id_zcbfd2f12962411de83b1.html	20集全
缘之烩	-	-	-	新加坡	都市 / 言情 / 时装	-	姚懿珊 / 刘容嘉 / 谢韵仪 / 陈汉玮 / 曾少宗	250,718	http://www.youku.com/show_page/id_zcc178a4c962411de83b1.html	21集全
叱咤风云	-	-	-	新加坡	言情	-	李南星 / 李锦梅 / 陈汉玮 / 汤妙玲	239,222	http://www.youku.com/show_page/id_z8bbf9f005f4711e0a046.html	30集全
陌生人	Riding The Storm	1999-01-01	-	新加坡	剧情 / 悬疑 / 家庭 / 言情	-	万梓良 / 林海娇 / 戴鹏 / 曾江 / 钱治钢	222,465	http://www.youku.com/show_page/id_za75bb7a65f6711e0a046.html	30集全
难兄烂弟	My Buddy	2009-07-08	-	新加坡	都市 / 搞笑 / 时装	-	李铭顺 / 郑各评 / 郭蕙雯 / 林晓佩 / 陈丽	213,865	http://www.youku.com/show_page/id_z4fa63feed65211de97c0.html	20集全
