聚宝盆	-	2003-05-08	-	香港	搞笑 / 古装	-	张卫健 / 张庭 / 范冰冰 / 梁冠华 / 寇振海	94,323,036	http://www.youku.com/show_page/id_zcbfbd3ce962411de83b1.html	37集全
珠光宝气	The Gem Of Life	2008-10-20	优酷开播:2010-12-01	香港	都市 / 家庭 / 言情 / 时装	-	黎姿 / 邵美琪 / 蔡少芬 / 李司棋 / 陈豪	90,031,541	http://www.youku.com/show_page/id_zcbfd6e6e962411de83b1.html	82集全
巾帼枭雄之义海豪情	Rosy Business II/巾帼枭雄2	2010-10-18	优酷开播:2010-12-01	香港	剧情 / 言情	-	黎耀祥 / 邓萃雯 / 陈法拉 / 敖嘉年 / 黄浩然	86,910,886	http://www.youku.com/show_page/id_z1ba331422ce811df97c0.html	32集全
宫心计	Beyond The Realm Of Conscience/刘三好	2010-06-09	优酷开播:2010-12-01	香港	古装	-	佘诗曼 / 关菊英 / 杨怡 / 陈豪 / 米雪	82,097,036	http://www.youku.com/show_page/id_zcc170950962411de83b1.html	33集全
精武门	Fist Of Fury	1995-08-14	优酷开播:2010-11-08	香港	剧情 / 武侠	-	甄子丹 / 高雄 / 吴廷烨 / 万绮雯 / 丛珊	82,013,093	http://www.youku.com/show_page/id_zcbfcf510962411de83b1.html	30集全
射雕英雄传之华山论剑	Legend Of The Condor Heroes/射雕英雄传 83版	1983-05-24	优酷开播:2010-03-22	香港	武侠 / 言情 / 古装	-	黄日华 / 翁美玲 / 苗侨伟 / 杨盼盼 / 刘丹	76,574,702	http://www.youku.com/show_page/id_zcc16ebaa962411de83b1.html	20集全
射雕英雄传之东邪西毒	Legend Of The Condor Heroes II/射雕英雄传 83版	1983-05-02	优酷开播:2010-03-22	香港	武侠 / 言情 / 古装	-	黄日华 / 翁美玲 / 苗侨伟 / 杨盼盼 / 刘丹	72,290,523	http://www.youku.com/show_page/id_zcbfb7cf8962411de83b1.html	20集全
洗冤录	Witness To A Prosecution I/洗冤录 第一部	1999-12-20	-	香港	剧情 / 悬疑 / 古装	-	欧阳震华 / 林文龙 / 宣萱 / 陈妙瑛 / 佘诗曼	63,258,399	http://www.youku.com/show_page/id_zcbfb8702962411de83b1.html	22集全
上海滩	The Bund	1980-03-10	-	香港	剧情 / 偶像 / 言情	-	周润发 / 吕良伟 / 赵雅芝 / 林建明 / 刘丹	56,900,054	http://www.youku.com/show_page/id_zcbfb7bfe962411de83b1.html	25集全
射雕英雄传之铁血丹心	Legend Of The Condor Heroes I/射雕英雄传 83版	1983-05-24	优酷开播:2010-03-22	香港	武侠 / 言情 / 古装	-	黄日华 / 翁美玲 / 苗侨伟 / 杨盼盼 / 刘丹	52,160,739	http://www.youku.com/show_page/id_zcbfb7d20962411de83b1.html	19集全
巾帼枭雄	Rosy Business/红粉商人	2009-04-27	优酷开播:2010-03-22	香港	古装	-	黎耀祥 / 邓萃雯 / 岳华 / 谢雪心 / 商天娥	49,528,513	http://www.youku.com/show_page/id_zcc17ac0c962411de83b1.html	25集全
我和春天有个约会	I Have A Date With Spring	1996-01-13	优酷开播:2010-11-08	香港	言情	-	邓萃雯 / 万绮雯 / 蔡晓仪 / 商天娥 / 江华	40,507,176	http://www.youku.com/show_page/id_zcbfd4506962411de83b1.html	40集全
神探卫斯理	The New Adventures of Wisely/卫斯理传奇	1998-09-15	-	香港 / 新加坡	科幻	-	陶大宇 / 郑惠玉 / 周初明 / 李南星 / 刘谦益	15,250,445	http://www.youku.com/show_page/id_z15721378b99911de97c0.html	30集全
我们的天空	Shades of Life/香港心香港情	2014-07-20	优酷开播:2014-07-21	香港	剧情 / 都市 / 家庭 / 时装	-	于洋 / 胡诺言 / 姚子羚 / 卢颂衡 / 谭凯琪	14,069,366	http://www.youku.com/show_page/id_zbe655a34029211e48b3f.html	12集全
女警爱作战	Sergeant Tabloid/女警雄心	2013-03-11	优酷开播:2013-03-12	香港	悬疑 / 时装	-	周丽淇 / 谢天华 / 黄智雯 / 朱慧敏 / 朱璇	14,022,751	http://www.youku.com/show_page/id_z3aeea61c8b0411e296ac.html	20集全
情陷夜中环	Central Affairs/情陷大香港	2005-11-28	优酷开播:2010-11-08	香港	都市 / 家庭 / 言情 / 时装	-	谢贤 / 黄浩然 / 林韦辰 / 张文慈 / 谷祖琳	13,712,958	http://www.youku.com/show_page/id_zcbfd198c962411de83b1.html	30集全
纵横四海	Criss-Cross Over Four Seas	1999-03-08	优酷开播:2009-10-30	香港	都市 / 家庭 / 言情	-	陶大宇 / 谭耀文 / 叶德娴 / 杨恭如 / 周海媚	13,164,941	http://www.youku.com/show_page/id_zcbfb8cf2962411de83b1.html	42集全
食神	God of Food	优酷开播:2014-06-01	-	香港	剧情 / 搞笑 / 古装	-	郑则仕 / 商天娥 / 林心如 / 徐锦江 / 梁小冰	10,917,823	http://www.youku.com/show_page/id_zde925eeedfc711e3a705.html	更新至42
情陷夜中环II	Central Affairs 2/情陷夜中环II风云变幻	2006-05-29	优酷开播:2010-11-08	香港	都市 / 家庭 / 言情 / 时装	-	陈启泰 / 叶璇 / 张文慈 / 谢贤 / 金燕玲	10,508,772	http://www.youku.com/show_page/id_zcbfd19be962411de83b1.html	30集全
法网群英	The Man Of Justice	2010-07-29	优酷开播:2011-01-28	香港	警匪 / 都市 / 时装	-	吴启华 / 陈秀雯 / 陈启泰 / 张文慈 / 吕颂贤	9,648,844	http://www.youku.com/show_page/id_ze9c2b144d75011de97c0.html	35集全
爱情来的时候 新加坡篇 分集版	A Time Of Love	2014-02-02	优酷开播:2014-02-02	香港	剧情 / 都市 / 言情 / 时装	-	佘诗曼 / 马国明 / 李伯恩 / 童冰玉	9,470,296	http://www.youku.com/show_page/id_z8819158c841211e3b8b7.html	4集全
绝地苍狼	风云群英会	优酷开播:2014-11-01	-	香港	剧情 / 言情	-	任达华 / 于莉 / 唐文龙 / 陈明真 / 成奎安	8,649,334	http://www.youku.com/show_page/id_zcbfcf632962411de83b1.html	38集全
守业者	Storm In a Cocoon	2014-02-17	优酷开播:2014-02-18	香港	剧情 / 悬疑 / 言情	-	马浚伟 / 麦长青 / 杨怡 / 邵美琪 / 唐诗咏	7,704,951	http://www.youku.com/show_page/id_zdb92fcf6af0511e296da.html	预告
烧饼皇后	Biscuits Queen	优酷开播:2009-04-30	-	香港	古装	-	关咏荷 / 郭晋安 / 黄宗洛 / 戴娇倩 / 刘洁	7,035,787	http://www.youku.com/show_page/id_zcbfd24c2962411de83b1.html	19集全
爱情来的时候 马来西亚篇 分集版	A Time Of Love	2014-01-26	优酷开播:2014-01-26	香港	剧情 / 都市 / 言情 / 时装	-	王宥胜 / 温升豪 / 徐子珊	5,353,686	http://www.youku.com/show_page/id_z8e0e8342841111e3a705.html	4集全
新少林五祖	Days in Shaolin/开心出家人	-	-	香港	武侠 / 古装	-	元华 / 唐文龙 / 张延 / 林熙蕾 / 连凯	5,339,786	http://www.youku.com/show_page/id_z7867f5bced3f11df97c0.html	30集全
雪山飞狐	The Flying Fox Of The Snowy Mountain/雪山飞狐 07版	2007-04-23	-	香港	武侠 / 言情 / 古装	-	聂远 / 吕一 / 安以轩 / 高虎 / 桑伟淋	4,962,119	http://www.youku.com/show_page/id_zcbfd4b82962411de83b1.html	40集全
猫屎妈妈	Coffee Cat Mama	2013-12-23	优酷开播:2013-12-24	香港	剧情 / 家庭 / 搞笑 / 言情 / 时装	-	米雪 / 胡定欣 / 岑丽香 / 黄宗泽 / 王浩信	4,921,604	http://www.youku.com/show_page/id_zc5cc5288b70b11e2a19e.html	预告
爱情来的时候 韩国篇 分集版	A Time Of Love	2014-02-09	优酷开播:2014-02-09	香港	剧情 / 都市 / 言情 / 时装	-	钟嘉欣 / 延政勋	4,831,187	http://www.youku.com/show_page/id_za563a746841311e3a705.html	4集全
反贪风暴	-	优酷开播:2014-05-26	-	香港	剧情 / 警匪 / 言情	-	汤镇宗 / 温碧霞 / 汤镇业 / 邱月清 / 刘美娟	4,433,079	http://www.youku.com/show_page/id_zc82cbf5cba0911de97c0.html	22集全
肥猫寻亲记  第二部	肥猫寻亲记:续	2005-12-08	优酷开播:2011-02-15	香港	家庭	-	郑则仕 / 归亚蕾 / 杨溢 / 蒋恺 / 易智远	4,182,872	http://www.youku.com/show_page/id_zcbfcd5da962411de83b1.html	30集全
大冒险家 TV版	The Great Adventure	2005-12-05	-	香港	剧情 / 都市 / 言情	-	吴镇宇 / 黄子华 / 陈慧珊 / 张庭 / 曾江	3,940,531	http://www.youku.com/show_page/id_zcbfbf084962411de83b1.html	42集全
包公出巡之威震金陵	-	-	-	香港	悬疑 / 古装	-	金超群 / 焦恩俊 / 范鸿轩 / 唐国强 / 孙耀威	3,660,765	http://www.youku.com/show_page/id_zae016890b96811de97c0.html	10集全
我爱钟无艳	My Fair Lady/钟无艳	2005-03-23	优酷开播:2010-09-21	香港 / 新加坡	言情 / 古装	-	范文芳 / 罗嘉良 / 郑则仕 / 陈紫函 / 黄一山	3,352,633	http://www.youku.com/show_page/id_zcbfd433a962411de83b1.html	30集全
爱在有情天	Love In A Miracle	2004-05-01	-	大陆 / 香港	剧情 / 言情	-	马景涛 / 陈秀雯 / 马苏 / 陈展鹏 / 李香琴	3,253,884	http://www.youku.com/show_page/id_zcbfbb6f0962411de83b1.html	32集全
奔月	Moon Fairy/后羿射日	2003-09-05	-	香港 / 新加坡	神话 / 言情 / 古装	-	范文芳 / 李铭顺 / 温峥嵘 / 连凯 / 刘威	3,120,499	http://www.youku.com/show_page/id_zcbfbf174962411de83b1.html	30集全
包公出巡之梦回青楼	-	-	-	香港	悬疑 / 古装	-	金超群 / 焦恩俊 / 范鸿轩 / 宋丹丹 / 甄秀珍	3,038,955	http://www.youku.com/show_page/id_zda67a82cba0d11de97c0.html	10集全
单恋双城	Outbound Love	2014-01-20	优酷开播:2014-01-20	香港	剧情 / 言情 / 时装	-	陈展鹏 / 陈茵媺 / 洪永城 / 林夏薇 / 杨明	2,981,917	http://www.youku.com/show_page/id_z14054686435711e2b356.html	预告
小兵阿福	福将军	1998-01-01	-	香港	军事	-	吴镇宇 / 童爱玲 / 成奎安 / 陈国权 / 张瑞哲	2,834,114	http://www.youku.com/show_page/id_zcbfcdc24962411de83b1.html	40集全
爱情来的时候 日本篇 分集版	A Time Of Love	2014-02-16	优酷开播:2014-02-16	香港	剧情 / 都市 / 言情 / 时装	-	王祖蓝 / 炎亚纶 / 渡边直美 / 池端玲名 / 黄智贤	2,685,134	http://www.youku.com/show_page/id_z3d2e748a841311e3b8b7.html	4集全
包公出巡之龙凤肚兜	-	-	-	香港	悬疑 / 古装	-	金超群 / 张铁林 / 焦恩俊 / 范鸿轩 / 陈志朋	2,655,571	http://www.youku.com/show_page/id_z96d1c552ba0d11de97c0.html	10集全
封神榜	Gods Of Honour/封神榜之爱子情深	2001-07-23	-	香港	神话 / 古装	-	陈浩民 / 钱嘉乐 / 温碧霞 / 苑琼丹 / 元华	2,434,043	http://www.youku.com/show_page/id_zcbfb850e962411de83b1.html	资料
巾帼枭雄之喋血长天	巾帼枭雄3	-	-	香港	剧情	-	黎耀祥 / 胡杏儿 / 唐诗咏 / 萧正楠 / 马赛	2,382,653	http://www.youku.com/show_page/id_zf606dfc8440f11e2b16f.html	预告
